,bought,buy_price,stop_loss,sold,sell_price,stoped
0,2018-09-03 14:14:00+00:00,7280.437149715861,7220.79954171822,2018-09-04 12:02:00+00:00,7358.004143721629,False
1,2018-09-05 00:21:00+00:00,7355.924259224963,7307.741910101255,2018-09-05 09:51:00+00:00,7307.741910101255,True
2,2018-09-05 15:48:00+00:00,6960.700319866783,6746.407561573599,2018-09-05 23:46:00+00:00,6746.407561573599,True
3,2018-09-06 00:17:00+00:00,6623.449690346113,6418.2372218742175,2018-09-06 03:24:00+00:00,6418.2372218742175,True
4,2018-09-06 14:39:00+00:00,6455.386604114392,6242.634624013373,2018-09-06 23:45:00+00:00,6533.764829298963,False
5,2018-09-07 00:07:00+00:00,6487.185198585437,6331.810051079233,2018-09-07 10:23:00+00:00,6331.810051079233,True
6,2018-09-07 14:06:00+00:00,6422.606131623585,6306.521616966831,2018-09-07 16:08:00+00:00,6466.650656585325,False
7,2018-09-08 04:14:00+00:00,6416.228661919697,6326.600162375471,2018-09-08 17:46:00+00:00,6326.600162375471,True
8,2018-09-09 02:52:00+00:00,6172.310590685607,6053.037726435914,2018-09-09 09:32:00+00:00,6436.416368794364,False
9,2018-09-09 14:21:00+00:00,6399.125301477902,6296.316019218384,2018-09-09 22:03:00+00:00,6296.316019218384,True
10,2018-09-10 02:15:00+00:00,6328.407346305347,6215.324860302094,2018-09-11 00:01:00+00:00,6338.461436357995,False
11,2018-09-11 12:11:00+00:00,6262.748774287279,6189.029622032848,2018-09-11 14:57:00+00:00,6189.029622032848,True
12,2018-09-12 00:47:00+00:00,6274.120061447311,6187.5441903936435,2018-09-12 05:30:00+00:00,6295.0146793532085,False
13,2018-09-12 14:16:00+00:00,6274.310375591229,6205.383714916502,2018-09-12 18:42:00+00:00,6353.566721147565,False
14,2018-09-13 02:06:00+00:00,6399.286201349164,6352.077783864782,2018-09-13 09:37:00+00:00,6487.2324501745425,False
15,2018-09-13 12:33:00+00:00,6448.108874016388,6407.868129231326,2018-09-14 02:12:00+00:00,6529.334755749074,False
16,2018-09-14 12:40:00+00:00,6454.163737998742,6354.046304257892,2018-09-15 10:02:00+00:00,6558.214206633082,False
17,2018-09-15 12:12:00+00:00,6515.959246745842,6454.820482497767,2018-09-16 04:01:00+00:00,6454.820482497767,True
18,2018-09-16 12:09:00+00:00,6495.871650234601,6427.058325284238,2018-09-16 17:41:00+00:00,6427.058325284238,True
19,2018-09-17 02:06:00+00:00,6516.852218623815,6455.5599327484615,2018-09-17 09:18:00+00:00,6455.5599327484615,True
20,2018-09-17 12:06:00+00:00,6460.932759927328,6384.551177947312,2018-09-17 14:11:00+00:00,6384.551177947312,True
21,2018-09-18 00:19:00+00:00,6231.947337709851,6144.81517870084,2018-09-18 05:11:00+00:00,6285.578970706669,False
22,2018-09-18 14:11:00+00:00,6350.990900098561,6287.237274074829,2018-09-18 19:57:00+00:00,6287.237274074829,True
23,2018-09-19 00:06:00+00:00,6327.608180984532,6265.175776380814,2018-09-19 11:47:00+00:00,6265.175776380814,True
24,2018-09-19 16:15:00+00:00,6325.062700314116,6269.543051770781,2018-09-19 18:29:00+00:00,6269.543051770781,True
25,2018-09-20 02:06:00+00:00,6400.989963667093,6273.597177828736,2018-09-20 11:55:00+00:00,6432.518871878173,False
26,2018-09-20 13:05:00+00:00,6412.316050354817,6321.024404076595,2018-09-21 02:45:00+00:00,6540.405136108066,False
27,2018-09-21 12:16:00+00:00,6718.68660478819,6658.871528429054,2018-09-22 00:04:00+00:00,6788.624102378108,False
28,2018-09-22 14:10:00+00:00,6682.131414884281,6606.096859799845,2018-09-23 09:46:00+00:00,6787.918741151352,False
29,2018-09-23 12:06:00+00:00,6747.238218529603,6693.404024941591,2018-09-23 14:47:00+00:00,6693.404024941591,True
30,2018-09-24 00:06:00+00:00,6701.300386059222,6648.899311634723,2018-09-24 06:41:00+00:00,6648.899311634723,True
31,2018-09-24 14:25:00+00:00,6601.671973523055,6528.678413988555,2018-09-25 00:15:00+00:00,6528.678413988555,True
32,2018-09-25 14:06:00+00:00,6407.422136604425,6326.02080191799,2018-09-25 18:11:00+00:00,6326.02080191799,True
33,2018-09-26 00:29:00+00:00,6414.2965842600515,6333.204087690336,2018-09-26 11:58:00+00:00,6526.781518260814,False
34,2018-09-26 12:11:00+00:00,6511.939263790133,6455.715136222064,2018-09-26 21:52:00+00:00,6455.715136222064,True
35,2018-09-27 02:22:00+00:00,6492.124412636903,6432.115655244798,2018-09-27 12:45:00+00:00,6521.644017525406,False
36,2018-09-28 02:20:00+00:00,6713.328643747242,6650.182305044976,2018-09-28 09:18:00+00:00,6650.182305044976,True
37,2018-09-28 12:20:00+00:00,6633.591010003864,6528.33949681898,2018-09-29 01:37:00+00:00,6528.33949681898,True
38,2018-09-29 12:12:00+00:00,6581.07053009379,6489.03743724763,2018-09-29 23:06:00+00:00,6631.675300696337,False
39,2018-09-30 00:06:00+00:00,6592.0916036494555,6525.861725403948,2018-09-30 11:03:00+00:00,6658.666584030015,False
40,2018-09-30 12:16:00+00:00,6622.430403717888,6569.026206011189,2018-09-30 20:02:00+00:00,6569.026206011189,True
41,2018-10-01 04:45:00+00:00,6643.58113553252,6593.541295194619,2018-10-01 10:56:00+00:00,6593.541295194619,True
42,2018-10-01 12:06:00+00:00,6583.382879193377,6527.01223099857,2018-10-01 14:06:00+00:00,6527.01223099857,True
43,2018-10-02 00:23:00+00:00,6595.714520182741,6540.364152608824,2018-10-02 14:22:00+00:00,6540.364152608824,True
44,2018-10-03 02:06:00+00:00,6505.812166907399,6448.358566377521,2018-10-03 04:14:00+00:00,6448.358566377521,True
45,2018-10-03 12:42:00+00:00,6481.742915755334,6427.560593068054,2018-10-03 15:02:00+00:00,6540.680531514893,False
46,2018-10-04 05:22:00+00:00,6598.643194301793,6539.420779559907,2018-10-04 19:21:00+00:00,6613.886799377262,False
47,2018-10-05 02:06:00+00:00,6609.330559385828,6566.3379175157515,2018-10-05 22:09:00+00:00,6696.290496965744,False
48,2018-10-06 00:39:00+00:00,6627.7918415851,6598.692430943914,2018-10-06 11:22:00+00:00,6598.692430943914,True
49,2018-10-06 13:23:00+00:00,6571.920997909241,6533.926017673943,2018-10-06 17:30:00+00:00,6604.8515559810185,False
50,2018-10-07 03:08:00+00:00,6598.81640956744,6569.494151301306,2018-10-07 07:48:00+00:00,6569.494151301306,True
51,2018-10-07 14:29:00+00:00,6568.475802083708,6531.376800125107,2018-10-08 12:12:00+00:00,6670.57867495338,False
